what,kind,bundleId,bundleVersion,description,time
ws,sysinfo,,,"win32",1271519032296
locale,sysinfo,,,"pt_BR",1271519032296
processors,sysinfo,,,"4",1271519032296
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1271519032296
java.runtime.version,sysinfo,,,"1.6.0_18-b07",1271519032296
java.specification.name,sysinfo,,,"Java Platform API Specification",1271519032296
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1271519032296
java.specification.version,sysinfo,,,"1.6",1271519032296
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1271519032296
java.version,sysinfo,,,"1.6.0_18",1271519032296
java.vm.info,sysinfo,,,"mixed mode, sharing",1271519032296
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1271519032296
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1271519032296
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1271519032296
java.vm.specification.version,sysinfo,,,"1.0",1271519032296
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1271519032296
java.vm.version,sysinfo,,,"16.0-b13",1271519032296
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1271519034411
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1271519034411
closed,view,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.internal.introview",1271519034426
started,bundle,org.eclipse.wst.server.core,1.1.101.v20090515,"org.eclipse.wst.server.core",1271519036954
started,bundle,org.eclipse.wst.server.ui,1.1.102.v20090515,"org.eclipse.wst.server.ui",1271519036985
opened,view,org.eclipse.wst.server.ui,1.1.102.v20090515,"org.eclipse.wst.server.ui.ServersView",1271519037000
activated,view,org.eclipse.wst.server.ui,1.1.102.v20090515,"org.eclipse.wst.server.ui.ServersView",1271519037016
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1271519038935
