what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1271519109540
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.import",1271519109556
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1271519111350
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1271519116919
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.import",1271519116919
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1271519118744
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1271519124438
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.import",1271519124454
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1271519129009
started,bundle,org.eclipse.wst.common.project.facet.ui,1.4.0.v200906080543,"org.eclipse.wst.common.project.facet.ui",1271519133736
started,bundle,org.eclipse.wst.web.ui,1.1.300.v200905242131,"org.eclipse.wst.web.ui",1271519133736
started,bundle,org.eclipse.jst.common.project.facet.ui,1.4.0.v200906080500,"org.eclipse.jst.common.project.facet.ui",1271519133908
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1271519140912
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.newWizard",1271519140928
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1271519142332
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1271519153080
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1271519162144
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1271519167947
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1271519171488
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1271519173844
activated,view,org.eclipse.wst.server.ui,1.1.102.v20090515,"org.eclipse.wst.server.ui.ServersView",1271519176262
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1271519177666
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1271519179132
executed,command,org.eclipse.wst.server.ui,1.1.102.v20090515,"org.eclipse.wst.server.run",1271519181675
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1271519181924
