what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.jst.jsp.ui,1.1.400.v200904292008,"org.eclipse.jst.jsp.core.jspsource.source",1271520111488
activated,editor,org.eclipse.jst.jsp.ui,1.1.400.v200904292008,"org.eclipse.jst.jsp.core.jspsource.source",1271520111547
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1271520114599
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1271520118808
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1271520142130
opened,editor,org.eclipse.jst.jsp.ui,1.1.400.v200904292008,"org.eclipse.jst.jsp.core.jspsource.source",1271520142462
activated,editor,org.eclipse.jst.jsp.ui,1.1.400.v200904292008,"org.eclipse.jst.jsp.core.jspsource.source",1271520142525
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1271520146261
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1271520149289
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1271520168194
opened,editor,org.eclipse.jst.jsp.ui,1.1.400.v200904292008,"org.eclipse.jst.jsp.core.jspsource.source",1271520168543
activated,editor,org.eclipse.jst.jsp.ui,1.1.400.v200904292008,"org.eclipse.jst.jsp.core.jspsource.source",1271520168605
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1271520170215
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1271520173116
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1271520248199
opened,editor,org.eclipse.jst.jsp.ui,1.1.400.v200904292008,"org.eclipse.jst.jsp.core.jspsource.source",1271520248231
activated,editor,org.eclipse.jst.jsp.ui,1.1.400.v200904292008,"org.eclipse.jst.jsp.core.jspsource.source",1271520248309
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1271520249975
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1271520253484
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1271520263538
opened,editor,org.eclipse.jst.jsp.ui,1.1.400.v200904292008,"org.eclipse.jst.jsp.core.jspsource.source",1271520263580
activated,editor,org.eclipse.jst.jsp.ui,1.1.400.v200904292008,"org.eclipse.jst.jsp.core.jspsource.source",1271520263642
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1271520267888
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1271520270482
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1271520287570
