what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.wordPrevious",1271533769766
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.wordPrevious",1271533770094
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.wordPrevious",1271533770796
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1271533771607
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.wordNext",1271533771919
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.wordNext",1271533772091
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.wordPrevious",1271533772496
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1271533773354
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1271533785975
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1271533792792
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1271533795241
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1271533804242
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1271533809484
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1271533812666
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1271533813477
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1271533823898
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1271533830669
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1271533832463
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1271533896360
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1271533901602
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1271533912179
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1271533940040
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.export",1271533940056
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1271533942942
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1271534199737
