what,kind,bundleId,bundleVersion,description,time
processors,sysinfo,,,"4",1272328532667
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1272328532667
java.runtime.version,sysinfo,,,"1.6.0_18-b07",1272328532667
java.specification.name,sysinfo,,,"Java Platform API Specification",1272328532667
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1272328532667
java.specification.version,sysinfo,,,"1.6",1272328532667
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1272328532667
java.version,sysinfo,,,"1.6.0_18",1272328532667
java.vm.info,sysinfo,,,"mixed mode, sharing",1272328532667
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1272328532667
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1272328532667
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1272328532667
java.vm.specification.version,sysinfo,,,"1.0",1272328532667
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1272328532667
java.vm.version,sysinfo,,,"16.0-b13",1272328532667
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.tasks.ui",1272328533214
started,bundle,org.eclipse.mylyn.team.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.team.ui",1272328533218
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1272328533250
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1272328533434
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1272328533463
started,bundle,org.eclipse.php.debug.daemon,2.1.0.v20090610-1903,"org.eclipse.php.debug.daemon",1272328533523
started,bundle,org.eclipse.php.server.core,2.1.0.v20090610-1903,"org.eclipse.php.server.core",1272328533717
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.monitor.ui",1272328533736
started,bundle,org.eclipse.epp.usagedata.ui,1.1.0.R200906100410,"org.eclipse.epp.usagedata.ui",1272328533977
started,bundle,org.eclipse.php.debug.core,2.1.0.v20090617-2341,"org.eclipse.php.debug.core",1272328534147
